ens_gene,Symbol,Uniq_syms,entrez,Gene_name,1_00_2day,2_00_2day,3_00_2day,1_05_2day,2_05_2day,3_05_2day,1_20_2day,2_20_2day,3_20_2day,1_40_2day,2_40_2day,3_40_2day
ENSG00000234286.1,NA,ENSG00000234286.1,NA,NA,2,4,5,1,2,1,2,2,1,3,2,1
ENSG00000196335.13,STK31,STK31,56164,serine/threonine kinase 31,0,2,5,1,0,6,0,2,0,2,1,3
ENSG00000105926.15,PALS2,PALS2,51678,"protein associated with LIN7 2, MAGUK p55 family member",996,983,1354,1020,1408,1481,1142,1086,1325,947,1352,1239
ENSG00000105928.16,GSDME,GSDME,1687,gasdermin E,1124,1136,1579,1243,1687,1446,1426,1445,1466,1313,1726,1136
ENSG00000287093.1,NA,ENSG00000287093.1,NA,NA,2,1,0,2,1,2,0,0,1,2,1,0
ENSG00000070882.13,OSBPL3,OSBPL3,26031,oxysterol binding protein like 3,1881,1925,2576,1924,2490,2468,1893,1807,2005,1793,2588,1891
ENSG00000172115.9,CYCS,CYCS,54205,"cytochrome c, somatic",10277,10538,14128,10787,13931,12070,11695,11307,13511,10549,13449,9546
ENSG00000153790.12,SPMIP4,SPMIP4,136895,sperm microtubule inner protein 4,175,198,212,162,244,245,176,200,201,164,249,300
ENSG00000050344.9,NFE2L3,NFE2L3,9603,NFE2 like bZIP transcription factor 3,3291,3652,4723,4085,5136,3877,3200,3245,3869,2274,2662,3047
ENSG00000122566.21,HNRNPA2B1,HNRNPA2B1,3181,heterogeneous nuclear ribonucleoprotein A2/B1,44947,42391,67114,43939,53883,61697,45505,43300,54046,39111,50898,49606
ENSG00000122565.19,CBX3,CBX3,11335,chromobox 3,13198,14771,20320,15630,20552,14181,14651,14277,18437,13060,14922,15775
ENSG00000086300.15,SNX10,SNX10,29887,sorting nexin 10,67,64,77,63,98,50,64,71,88,50,80,95
ENSG00000005020.13,SKAP2,SKAP2,8935,src kinase associated phosphoprotein 2,338,335,505,325,482,459,451,386,476,348,465,412
ENSG00000105991.9,HOXA1,HOXA1,3198,homeobox A1,18,20,45,22,28,30,35,33,27,31,32,29
ENSG00000233429.9,HOTAIRM1,HOTAIRM1,100506311,"HOXA transcript antisense RNA, myeloid-specific 1",7,10,15,10,13,8,13,7,8,14,14,11
ENSG00000105997.22,HOXA3,HOXA3,3200,homeobox A3,2,2,2,0,2,2,1,2,1,0,2,0
ENSG00000106004.5,HOXA5,HOXA5,3202,homeobox A5,4,1,1,2,1,6,1,2,0,0,4,1
ENSG00000122592.8,HOXA7,HOXA7,3204,homeobox A7,5,6,13,3,5,4,3,4,1,1,4,10
ENSG00000253293.5,HOXA10,HOXA10,3206,homeobox A10,8,9,11,11,7,4,5,8,7,5,0,4
ENSG00000005073.6,HOXA11,HOXA11,3207,homeobox A11,11,8,17,4,9,12,5,4,5,12,6,3
ENSG00000240990.10,HOXA11-AS,HOXA11-AS,221883,HOXA11 antisense RNA,2,1,3,1,0,0,2,2,0,0,1,2
ENSG00000106031.9,HOXA13,HOXA13,3209,homeobox A13,26,28,46,28,43,37,15,19,11,15,17,19
ENSG00000233830.2,NA,ENSG00000233830.2,NA,NA,67,80,79,65,104,84,72,71,70,63,115,35
ENSG00000106049.9,HIBADH,HIBADH,11112,3-hydroxyisobutyrate dehydrogenase,2478,2585,3399,2739,3509,2446,2676,2539,3137,2511,2831,2550
ENSG00000106052.13,TAX1BP1,TAX1BP1,8887,Tax1 binding protein 1,9054,9831,13523,11165,14429,11041,11602,10832,14855,12202,13906,24203
ENSG00000153814.13,JAZF1,JAZF1,221895,JAZF zinc finger 1,709,778,1048,714,917,946,706,672,882,489,729,765
ENSG00000146592.17,CREB5,CREB5,9586,cAMP responsive element binding protein 5,1312,1438,2009,1452,1871,2407,1563,1397,1720,1053,1534,1393
ENSG00000106066.15,CPVL,CPVL,54504,carboxypeptidase vitellogenic like,69,64,89,68,100,80,98,81,91,100,94,107
ENSG00000106069.22,CHN2,CHN2,1124,chimerin 2,0,0,8,0,2,0,1,2,3,1,2,3
ENSG00000223813.3,NA,ENSG00000223813.3,NA,NA,5,3,3,3,8,3,0,1,2,5,2,0
ENSG00000176532.4,PRR15,PRR15,222171,proline rich 15,17,14,13,12,12,11,8,11,8,7,8,4
ENSG00000225264.3,NA,ENSG00000225264.3,NA,NA,26,33,54,40,39,35,22,28,34,31,46,41
ENSG00000227855.3,NA,ENSG00000227855.3,NA,NA,9,11,21,10,16,7,10,12,11,5,10,22
ENSG00000122574.10,WIPF3,WIPF3,644150,WAS/WASL interacting protein family member 3,6,6,9,4,12,11,4,5,6,6,6,2
ENSG00000136193.17,SCRN1,SCRN1,9805,secernin 1,11282,11071,14530,11645,16082,15228,14677,13930,14479,12305,17972,12322
ENSG00000227014.6,NA,ENSG00000227014.6,NA,NA,16,8,9,7,10,6,10,5,6,3,5,9
ENSG00000106080.11,FKBP14,FKBP14,55033,FKBP prolyl isomerase 14,1663,1766,2573,1993,2508,2048,1905,1770,2448,1684,2190,1999
ENSG00000106086.20,PLEKHA8,PLEKHA8,84725,pleckstrin homology domain containing A8,1247,1166,1653,1210,1653,1735,1338,1222,1435,1098,1575,1186
ENSG00000286847.1,LOC105375216,LOC105375216,105375216,uncharacterized LOC105375216,2,1,2,1,1,1,1,2,2,1,1,1
ENSG00000180354.16,MTURN,MTURN,222166,"maturin, neural progenitor differentiation regulator homolog",1094,1164,1507,1169,1518,1445,1479,1423,1612,1468,2108,1629
ENSG00000230751.1,NA,ENSG00000230751.1,NA,NA,2,2,5,0,2,1,2,0,0,1,0,0
ENSG00000180233.11,ZNRF2,ZNRF2,223082,zinc and ring finger 2,543,584,821,614,863,605,619,619,703,607,682,668
ENSG00000235859.5,NA,ENSG00000235859.5,NA,NA,81,80,113,63,92,78,88,74,56,64,97,67
ENSG00000281404.2,LINC01176,LINC01176,100506516,long intergenic non-protein coding RNA 1176,9,6,19,8,15,23,11,16,17,9,10,10
ENSG00000106100.11,NOD1,NOD1,10392,nucleotide binding oligomerization domain containing 1,310,258,405,338,404,410,310,332,316,300,351,184
ENSG00000272638.1,NA,ENSG00000272638.1,NA,NA,1,0,3,2,1,4,1,1,1,2,0,0
ENSG00000006625.18,GGCT,GGCT,79017,gamma-glutamylcyclotransferase,904,950,1211,947,1247,1059,860,880,1046,707,879,1143
ENSG00000196295.12,NA,ENSG00000196295.12,NA,NA,160,188,276,176,223,255,197,183,210,149,182,157
ENSG00000106105.14,GARS1,GARS1,2617,glycyl-tRNA synthetase 1,8161,8234,10843,8120,11398,11669,10391,10660,11109,9704,13887,11474
ENSG00000106125.14,MINDY4,MINDY4,84182,MINDY lysine 48 deubiquitinase 4,3,4,4,5,3,2,6,3,2,5,2,0
ENSG00000154678.18,PDE1C,PDE1C,5137,phosphodiesterase 1C,5387,5514,7436,5336,7238,7204,4626,4425,5240,3351,5004,4153
ENSG00000106355.10,LSM 5.00,LSM 5.00,23658,"LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated",3437,4744,6559,4999,6346,3910,4167,4717,6742,5151,4590,6602
ENSG00000105778.19,AVL9,AVL9,23080,AVL9 cell migration associated,1774,1733,2175,1766,2582,2498,2264,2078,2358,1909,2708,1759
ENSG00000229358.3,NA,ENSG00000229358.3,NA,NA,24,29,51,33,45,36,26,22,21,28,23,21
ENSG00000237004.4,NA,ENSG00000237004.4,NA,NA,52,49,66,77,75,68,78,85,30,77,87,23
ENSG00000273014.1,NA,ENSG00000273014.1,NA,NA,74,45,46,51,73,87,78,66,67,72,101,76
ENSG00000281332.1,NA,ENSG00000281332.1,NA,NA,47,50,56,48,64,81,51,54,48,41,66,83
ENSG00000231952.3,NA,ENSG00000231952.3,NA,NA,1,7,10,6,3,7,12,12,11,6,7,6
ENSG00000272905.1,NA,ENSG00000272905.1,NA,NA,3,2,5,5,2,1,2,1,3,4,4,3
ENSG00000170852.11,KBTBD2,KBTBD2,25948,kelch repeat and BTB domain containing 2,2226,2104,2830,2156,2917,2928,2552,2356,2686,2159,3041,2241
ENSG00000205763.13,NA,ENSG00000205763.13,NA,NA,144,158,230,158,235,211,179,196,212,167,201,167
ENSG00000122642.11,FKBP9,FKBP9,11328,FKBP prolyl isomerase 9,2603,2459,3420,2594,3367,2902,2259,2374,2254,1580,2376,1104
ENSG00000122643.21,NT5C3A,NT5C3A,51251,"5'-nucleotidase, cytosolic IIIA",1106,1124,1640,1257,1694,1565,1288,1275,1651,1359,1553,2014
ENSG00000229054.1,RPS29P14,RPS29P14,100129599,ribosomal protein S29 pseudogene 14,0,4,3,2,0,4,1,0,2,0,0,0
ENSG00000164610.9,RP9,RP9,6100,RP9 pre-mRNA splicing factor,369,372,532,387,529,458,459,431,484,434,533,705
ENSG00000122507.21,BBS9,BBS9,27241,Bardet-Biedl syndrome 9,532,539,619,528,695,641,521,529,590,502,733,402
ENSG00000164619.10,BMPER,BMPER,168667,BMP binding endothelial regulator,2291,2271,2967,2388,3284,3047,2818,2749,2981,2560,3509,2059
ENSG00000173852.14,DPY19L1,DPY19L1,23333,dpy-19 like C-mannosyltransferase 1,4241,4288,6091,4725,6525,5431,5120,4730,5469,4015,5517,4651
ENSG00000287249.1,NA,ENSG00000287249.1,NA,NA,4,6,3,4,6,4,5,6,3,2,4,8
ENSG00000189212.12,NA,ENSG00000189212.12,NA,NA,8,11,18,16,19,13,11,11,16,13,9,20
ENSG00000287032.1,NA,ENSG00000287032.1,NA,NA,1,1,4,0,2,5,2,0,2,1,2,4
ENSG00000122557.10,HERPUD2,HERPUD2,64224,HERPUD family member 2,849,807,1075,804,1109,1125,883,871,881,762,1039,914
ENSG00000271122.1,HERPUD2-AS1,HERPUD2-AS1,101930085,HERPUD2 antisense RNA 1,328,383,524,345,507,508,388,396,461,343,494,365
ENSG00000228878.8,NA,ENSG00000228878.8,NA,NA,5,8,17,4,15,12,9,8,6,11,9,3
ENSG00000122545.20,SEPTIN7,SEPTIN7,989,septin 7,16743,18003,25214,18830,24520,18644,18094,17019,23338,17249,20083,29522
ENSG00000122547.11,EEPD1,EEPD1,80820,endonuclease/exonuclease/phosphatase family domain containing 1,116,124,142,130,185,107,116,133,115,116,140,53
ENSG00000164542.12,MATCAP2,MATCAP2,23366,microtubule associated tyrosine carboxypeptidase 2,574,562,814,533,693,650,430,382,497,307,385,353
ENSG00000011426.11,ANLN,ANLN,54443,"anillin, actin binding protein",51108,52377,70959,54804,69539,59866,47439,43032,54112,35786,47219,58886
ENSG00000225739.1,NA,ENSG00000225739.1,NA,NA,1,2,2,0,0,1,0,1,1,1,1,0
ENSG00000213744.3,RPS10P14,RPS10P14,646942,ribosomal protein S10 pseudogene 14,1,1,0,0,1,1,2,1,1,0,1,2
ENSG00000086289.12,EPDR1,EPDR1,54749,ependymin related 1,22,24,40,31,37,44,42,26,33,25,39,30
ENSG00000010270.13,STARD3NL,STARD3NL,83930,STARD3 N-terminal like,3011,3514,4907,4051,5227,3543,3917,4001,5093,4055,4264,3701
ENSG00000249978.1,TRGV7,TRGV7,6981,T cell receptor gamma variable 7 (pseudogene),0,1,0,0,1,1,1,1,2,2,1,2
ENSG00000078053.17,AMPH,AMPH,273,amphiphysin,154,185,213,124,240,208,147,131,146,104,140,67
ENSG00000006715.16,VPS41,VPS41,27072,VPS41 subunit of HOPS complex,1950,2071,3116,2190,3155,3112,2821,2662,2973,2644,3618,2759
ENSG00000227172.2,NA,ENSG00000227172.2,NA,NA,0,0,1,3,0,3,0,2,1,0,0,0
ENSG00000241127.8,YAE1,YAE1,57002,YAE1 maturation factor of ABCE1,558,610,850,649,865,565,589,596,786,606,733,1206
ENSG00000287584.1,NA,ENSG00000287584.1,NA,NA,4,4,3,3,2,4,5,2,5,3,1,0
ENSG00000006451.8,RALA,RALA,5898,RAS like proto-oncogene A,5308,5472,7390,5768,8018,7373,8559,8329,9988,9919,13018,13398
ENSG00000188185.12,NA,ENSG00000188185.12,NA,NA,64,51,81,71,75,72,51,62,64,72,80,44
ENSG00000233225.3,NA,ENSG00000233225.3,NA,NA,16,15,30,18,22,6,19,15,17,17,23,16
ENSG00000175741.5,NA,ENSG00000175741.5,NA,NA,141,163,199,164,239,194,154,139,186,164,165,185
ENSG00000259826.1,CDK13-DT,CDK13-DT,112267983,CDK13 divergent transcript,11,13,18,13,11,8,13,12,12,5,10,4
ENSG00000065883.16,CDK13,CDK13,8621,cyclin dependent kinase 13,2288,2308,3100,2369,3411,3803,2568,2517,2752,2281,3156,2785
ENSG00000168303.9,MPLKIP,MPLKIP,136647,M-phase specific PLK1 interacting protein,1138,1349,1590,1443,1904,1112,1229,1338,1450,1224,1277,1372
ENSG00000175600.15,SUGCT,SUGCT,79783,succinyl-CoA:glutarate-CoA transferase,58,32,54,77,53,49,55,58,70,97,104,98
ENSG00000122641.11,INHBA,INHBA,3624,inhibin subunit beta A,161,144,196,149,209,196,201,181,194,175,263,202
ENSG00000224116.7,INHBA-AS1,INHBA-AS1,285954,INHBA antisense RNA 1,1,0,1,1,0,0,0,0,1,2,1,3
ENSG00000106571.14,GLI3,GLI3,2737,GLI family zinc finger 3,784,779,1084,778,1020,1214,787,795,739,635,852,524
ENSG00000213721.3,NA,ENSG00000213721.3,NA,NA,0,2,1,5,2,2,0,1,2,0,0,2
ENSG00000229161.2,NA,ENSG00000229161.2,NA,NA,6,8,8,7,8,7,8,7,7,2,6,5
ENSG00000261019.1,NA,ENSG00000261019.1,NA,NA,0,3,0,1,0,6,2,3,6,2,1,0
ENSG00000136197.12,C7orf25,C7orf25,79020,chromosome 7 open reading frame 25,28,27,25,22,37,25,27,21,34,24,28,30
ENSG00000106588.11,PSMA2,PSMA2,5683,proteasome 20S subunit alpha 2,211,241,327,270,366,218,214,223,292,232,220,251
ENSG00000106591.4,MRPL32,MRPL32,64983,mitochondrial ribosomal protein L32,1787,2079,3492,2383,2992,1983,2012,2024,2990,2191,2005,4883
ENSG00000002746.15,HECW1,HECW1,23072,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1",12,15,12,9,18,16,15,21,14,12,12,10
ENSG00000231638.1,LUARIS,LUARIS,100506895,lncRNA upregulator of antiviral response interferon signaling,49,43,55,49,52,55,36,42,51,38,52,32
ENSG00000164543.7,STK17A,STK17A,9263,serine/threonine kinase 17a,3108,3335,4161,3453,4919,4085,4607,4289,5219,4447,5503,6063
ENSG00000106603.18,COA1,COA1,55744,cytochrome c oxidase assembly factor 1,2106,2217,3206,2539,3192,2093,2233,2324,2624,2406,2463,2147
ENSG00000106605.11,BLVRA,BLVRA,644,biliverdin reductase A,2006,2087,2600,1928,2564,2209,1989,1981,2092,1716,2144,1971
ENSG00000062582.14,MRPS24,MRPS24,64951,mitochondrial ribosomal protein S24,74,75,126,83,112,58,90,88,70,79,96,33
ENSG00000106608.16,URGCP,URGCP,55665,upregulator of cell proliferation,1891,1792,2398,1878,2525,2065,1947,2051,1720,1547,2155,1080
ENSG00000078967.13,UBE2D4,UBE2D4,51619,ubiquitin conjugating enzyme E2 D4 (putative),643,651,789,614,855,848,658,715,639,566,830,613
ENSG00000214783.9,POLR2J4,POLR2J4,84820,RNA polymerase II subunit J4 (pseudogene),8,5,14,5,11,7,8,4,5,7,5,7
ENSG00000273432.1,NA,ENSG00000273432.1,NA,NA,3,0,3,1,0,2,1,1,1,1,0,0
ENSG00000239556.4,NA,ENSG00000239556.4,NA,NA,4,2,8,5,8,10,11,4,5,3,8,1
ENSG00000228434.1,NA,ENSG00000228434.1,NA,NA,12,6,26,12,20,18,13,10,21,13,15,13
ENSG00000285596.1,NA,ENSG00000285596.1,NA,NA,4,4,14,10,11,4,5,7,8,3,5,2
ENSG00000272655.2,NA,ENSG00000272655.2,NA,NA,112,97,147,98,104,114,75,79,55,66,71,48
ENSG00000228903.7,NA,ENSG00000228903.7,NA,NA,1,2,7,3,8,5,2,2,5,0,7,0
ENSG00000235314.1,NA,ENSG00000235314.1,NA,NA,23,33,15,19,31,19,6,16,18,14,25,1
ENSG00000136279.20,DBNL,DBNL,28988,drebrin like,3933,4178,5466,4309,5688,3572,4272,4590,3653,4163,5149,1973
ENSG00000164708.6,PGAM2,PGAM2,5224,phosphoglycerate mutase 2,0,2,0,1,1,0,0,1,2,0,0,4
ENSG00000122678.17,POLM,POLM,27434,DNA polymerase mu,607,620,834,635,882,638,755,866,653,1013,1351,468
ENSG00000106624.11,AEBP1,AEBP1,165,AE binding protein 1,39,31,40,30,32,28,28,24,35,28,31,17
ENSG00000106628.10,POLD2,POLD2,5425,"DNA polymerase delta 2, accessory subunit",5201,5317,6784,5233,7111,4828,5429,5788,4479,5014,6488,3320
ENSG00000106633.17,GCK,GCK,2645,glucokinase,3,3,3,2,3,5,1,2,1,2,0,4
ENSG00000106636.8,YKT6,YKT6,10652,YKT6 v-SNARE homolog,5108,5087,6572,4926,7133,5419,5131,5249,4857,4275,5619,2757
ENSG00000058404.20,CAMK2B,CAMK2B,816,calcium/calmodulin dependent protein kinase II beta,14,14,21,11,15,11,12,5,3,9,10,9
ENSG00000279853.1,NA,ENSG00000279853.1,NA,NA,0,1,1,2,1,0,2,1,0,1,2,3
ENSG00000015676.18,NUDCD3,NUDCD3,23386,NudC domain containing 3,2755,2859,3620,2870,4068,3174,3155,3169,2777,2718,3765,1570
ENSG00000146677.7,RPL32P18,RPL32P18,644907,ribosomal protein L32 pseudogene 18,181,206,312,261,283,278,231,232,283,266,299,1120
ENSG00000136271.10,DDX56,DDX56,54606,DEAD-box helicase 56,2651,2604,3196,2812,3674,3043,2977,3233,2705,2753,3807,1454
ENSG00000158604.15,TMED4,TMED4,222068,transmembrane p24 trafficking protein 4,2841,2907,3919,3206,4252,3007,3370,3218,3201,3063,3876,2263
ENSG00000287574.1,NA,ENSG00000287574.1,NA,NA,13,7,19,9,17,13,14,9,14,14,19,11
ENSG00000105953.15,OGDH,OGDH,4967,oxoglutarate dehydrogenase,4019,4123,5116,4482,6005,4862,4283,4495,3618,3139,4423,2086
ENSG00000122515.15,ZMIZ2,ZMIZ2,83637,zinc finger MIZ-type containing 2,1369,1294,1946,1416,1768,1476,1395,1578,1058,1301,1826,1036
ENSG00000196262.14,PPIA,PPIA,5478,peptidylprolyl isomerase A,33132,34863,45830,34751,43915,35079,35683,35174,38973,34639,41238,33081
ENSG00000105968.18,H2AZ2,H2AZ2,94239,H2A.Z variant histone 2,8204,8097,11344,7609,11014,10617,7317,7835,8135,6165,8451,5448
ENSG00000234183.1,NA,ENSG00000234183.1,NA,NA,1,1,1,3,1,2,0,2,0,3,0,1
ENSG00000146676.10,PURB,PURB,5814,purine rich element binding protein B,4425,4327,6363,4593,6356,7049,4923,4345,5333,4128,5284,3615
ENSG00000272768.1,NA,ENSG00000272768.1,NA,NA,9,15,15,18,16,11,15,21,8,16,19,4
ENSG00000232956.9,SNHG15,SNHG15,285958,small nucleolar RNA host gene 15,532,474,791,673,739,498,660,526,649,640,695,325
ENSG00000136280.16,CCM2,CCM2,83605,CCM2 scaffold protein,1325,1395,1707,1350,1985,1285,1305,1311,1083,1016,1420,620
ENSG00000136274.9,NACAD,NACAD,23148,NAC alpha domain containing,453,449,652,521,662,559,419,438,307,336,453,141
ENSG00000136270.14,TBRG4,TBRG4,9238,transforming growth factor beta regulator 4,2407,2671,3518,2998,4017,2022,2620,2915,2311,2549,2818,1030
ENSG00000206838.1,SNORA5A,SNORA5A,654319,"small nucleolar RNA, H/ACA box 5A",4,4,2,10,3,5,2,5,2,2,3,0
ENSG00000201772.1,SNORA5C,SNORA5C,677796,"small nucleolar RNA, H/ACA box 5C",4,4,6,7,20,6,7,3,3,6,3,0
ENSG00000164742.16,ADCY1,ADCY1,107,adenylate cyclase 1,484,478,587,422,623,509,373,383,272,287,408,163
ENSG00000214765.8,NA,ENSG00000214765.8,NA,NA,274,221,400,307,365,408,250,230,358,252,256,369
ENSG00000272556.2,NA,ENSG00000272556.2,NA,NA,15,15,33,28,34,41,22,31,25,22,45,18
ENSG00000146674.15,IGFBP3,IGFBP3,3486,insulin like growth factor binding protein 3,14216,13422,19308,14533,20022,16736,17917,17347,18261,16648,21989,17552
ENSG00000237471.2,LOC102723446,LOC102723446,102723446,uncharacterized LOC102723446,2,3,0,3,1,1,0,1,3,1,1,2
ENSG00000229628.1,NA,ENSG00000229628.1,NA,NA,0,1,1,2,1,1,1,1,0,1,0,2
ENSG00000286315.1,LOC124901628,LOC124901628,124901628,uncharacterized LOC124901628,2,1,2,2,3,3,3,1,3,3,2,1
ENSG00000136205.17,TNS3,TNS3,64759,tensin 3,3517,3381,4810,3633,4632,4241,2839,2928,2542,2179,3034,1215
ENSG00000221845.4,LINC02902,LINC02902,401335,long intergenic non-protein coding RNA 2902,0,0,1,0,2,1,1,2,2,0,1,1
ENSG00000158683.8,PKD1L1,PKD1L1,168507,"polycystin 1 like 1, transient receptor potential channel interacting",2,3,4,2,6,5,5,3,7,2,4,2
ENSG00000146666.5,LINC00525,LINC00525,84847,long intergenic non-protein coding RNA 525,9,5,6,4,5,6,0,4,1,3,4,0
ENSG00000136275.10,PKD1L1-AS1,PKD1L1-AS1,80099,PKD1L1 antisense RNA 1,4,1,4,7,2,3,2,1,2,2,2,7
ENSG00000136273.13,HUS1,HUS1,3364,HUS1 checkpoint clamp component,756,777,1119,821,999,912,733,753,912,690,888,575
ENSG00000164744.13,SUN3,SUN3,256979,Sad1 and UNC84 domain containing 3,0,1,2,0,1,3,0,1,0,1,0,5
ENSG00000164746.14,C7orf57,C7orf57,136288,chromosome 7 open reading frame 57,26,35,62,38,47,44,32,43,36,36,21,21
ENSG00000183696.14,UPP1,UPP1,7378,uridine phosphorylase 1,1564,1661,2318,1790,2353,1423,1589,1713,1537,1899,2113,1170
ENSG00000179869.15,ABCA13,ABCA13,154664,ATP binding cassette subfamily A member 13,1,2,2,1,1,1,1,5,4,3,5,16
ENSG00000132436.11,FIGNL1,FIGNL1,63979,fidgetin like 1,2823,2965,4038,3009,4117,3977,3148,2862,3619,2384,3204,3095
ENSG00000106070.19,GRB10,GRB10,2887,growth factor receptor bound protein 10,2253,2441,3029,2370,3023,3022,2249,2232,2198,1926,2613,1144
ENSG00000106078.19,COBL,COBL,23242,cordon-bleu WH2 repeat protein,39,33,59,35,44,37,29,35,24,11,23,14
ENSG00000227344.2,HAUS6P1,HAUS6P1,653175,HAUS augmin like complex subunit 6 pseudogene 1,6,10,10,7,17,11,11,9,9,3,16,5
ENSG00000235454.1,NA,ENSG00000235454.1,NA,NA,35,39,38,37,52,38,38,39,27,29,48,47
ENSG00000132432.14,SEC61G,SEC61G,23480,SEC61 translocon subunit gamma,3586,4693,6491,5322,5943,3927,4499,4499,6398,5300,4952,15134
ENSG00000218586.3,NA,ENSG00000218586.3,NA,NA,1,0,0,2,0,1,0,3,1,1,3,4
ENSG00000146648.18,EGFR,EGFR,1956,epidermal growth factor receptor,7783,8204,10791,8743,11973,12121,9934,9465,10202,9368,13841,8863
ENSG00000224057.1,EGFR-AS1,EGFR-AS1,100507500,EGFR antisense RNA 1,2,4,2,2,1,0,4,2,1,3,0,0
ENSG00000132434.9,LANCL2,LANCL2,55915,LanC like glutathione S-transferase 2,1418,1428,2024,1467,2025,1649,1477,1507,1535,1211,1526,1171
ENSG00000154978.13,VOPP1,VOPP1,81552,VOPP1 WW domain binding protein,2559,2579,3240,2542,3504,2877,2751,2898,2750,2462,3424,1799
ENSG00000176826.15,NA,ENSG00000176826.15,NA,NA,30,28,48,33,40,24,27,29,16,23,24,8
ENSG00000224971.1,NA,ENSG00000224971.1,NA,NA,6,4,5,1,1,4,1,0,2,0,0,3
ENSG00000226278.1,PSPHP1,PSPHP1,8781,phosphoserine phosphatase pseudogene 1,215,282,310,250,367,198,252,242,295,232,239,159
ENSG00000178665.16,ZNF713,ZNF713,349075,zinc finger protein 713,60,49,73,57,81,79,34,62,53,31,43,65
ENSG00000146729.10,NIPSNAP2,NIPSNAP2,2631,nipsnap homolog 2,2636,2804,3686,2813,3708,2949,2587,2510,2873,2246,2882,2772
ENSG00000239789.6,MRPS17,MRPS17,51373,mitochondrial ribosomal protein S17,257,282,354,228,317,230,232,264,206,215,248,129
ENSG00000146733.14,PSPH,PSPH,5723,phosphoserine phosphatase,1044,1048,1510,1117,1612,1268,1260,1347,1397,1263,1554,1110
ENSG00000146731.11,CCT6A,CCT6A,908,chaperonin containing TCP1 subunit 6A,20576,21065,26614,22326,30003,24916,24403,23437,27261,21321,27132,23766
ENSG00000206603.1,SNORA22B,SNORA22B,109616964,"small nucleolar RNA, H/ACA box 22B",2,2,5,3,3,6,1,5,1,3,1,1
ENSG00000129103.18,SUMF2,SUMF2,25870,sulfatase modifying factor 2,3515,3742,4779,3758,5201,3442,3642,3659,3526,3325,3958,1537
ENSG00000164776.9,PHKG1,PHKG1,5260,phosphorylase kinase catalytic subunit gamma 1,5,13,10,5,17,14,5,14,17,7,11,10
ENSG00000106153.13,CHCHD2,CHCHD2,51142,coiled-coil-helix-coiled-coil-helix domain containing 2,7840,8379,10397,8836,12359,6855,9042,9553,9141,9320,10996,6009
ENSG00000223559.1,NA,ENSG00000223559.1,NA,NA,9,10,10,10,10,8,10,13,14,10,21,11
ENSG00000224155.2,NA,ENSG00000224155.2,NA,NA,0,1,2,2,2,0,1,0,4,0,1,2
ENSG00000213650.3,NA,ENSG00000213650.3,NA,NA,0,8,1,4,3,2,5,4,1,3,3,2
ENSG00000235720.1,NA,ENSG00000235720.1,NA,NA,4,7,4,3,12,13,5,4,7,4,3,2
ENSG00000214652.6,ZNF727,ZNF727,442319,zinc finger protein 727,8,9,4,12,12,10,10,6,7,10,11,5
ENSG00000236976.1,RPL6P20,RPL6P20,285900,ribosomal protein L6 pseudogene 20,1,3,2,1,6,1,1,3,4,4,5,3
ENSG00000234444.10,ZNF736,ZNF736,728927,zinc finger protein 736,787,736,1130,942,1184,1102,1007,898,1119,785,1089,700
ENSG00000287985.1,NA,ENSG00000287985.1,NA,NA,10,11,16,16,13,18,6,14,15,9,6,13
ENSG00000232727.2,NA,ENSG00000232727.2,NA,NA,1,2,2,7,4,1,0,2,3,2,1,2
ENSG00000173041.12,ZNF680,ZNF680,340252,zinc finger protein 680,797,870,1338,1053,1401,1016,914,869,1384,902,909,1783
ENSG00000196247.11,ZNF107,ZNF107,51427,zinc finger protein 107,942,879,1433,1096,1401,1376,1054,958,1569,940,1213,2130
ENSG00000197008.9,ZNF138,ZNF138,7697,zinc finger protein 138,595,616,980,710,917,649,626,601,983,631,633,1467
ENSG00000198039.11,ZNF273,ZNF273,10793,zinc finger protein 273,482,503,732,558,707,608,536,562,667,474,574,824
ENSG00000223476.1,NA,ENSG00000223476.1,NA,NA,8,11,14,12,14,8,14,9,7,10,8,8
ENSG00000152926.15,ZNF117,ZNF117,51351,zinc finger protein 117,170,189,351,244,302,293,196,155,297,208,217,377
ENSG00000213462.5,ERV3-1,ERV3-1,2086,"endogenous retrovirus group 3 member 1, envelope",120,105,203,132,161,157,93,97,108,78,119,65
ENSG00000234585.6,NA,ENSG00000234585.6,NA,NA,40,32,47,49,34,37,46,37,66,47,37,40
ENSG00000207344.1,SNORA22C,SNORA22C,109616965,"small nucleolar RNA, H/ACA box 22C",1,2,0,1,1,1,0,1,1,0,3,2
ENSG00000226002.1,GTF2IP14,GTF2IP14,106481735,general transcription factor IIi pseudogene 14,6,2,10,5,6,7,3,0,2,6,4,13
ENSG00000164669.13,NA,ENSG00000164669.13,NA,NA,0,0,1,1,1,3,0,2,3,2,2,2
ENSG00000282381.1,NA,ENSG00000282381.1,NA,NA,7,1,7,4,1,4,6,3,5,5,10,0
ENSG00000232906.1,LOC100533634,LOC100533634,100533634,zinc finger protein 737 pseudogene,1,2,1,3,2,6,3,0,4,2,0,7
